iter	Passed	Remaining
0	1	151
1	2	142
2	4	140
3	5	139
4	8	161
5	9	154
6	11	149
7	12	144
8	14	141
9	15	141
10	17	138
11	18	136
12	20	135
13	21	133
14	23	132
15	24	130
16	26	128
17	27	126
18	29	127
19	31	125
20	32	123
21	34	121
22	35	119
23	37	117
24	38	115
25	39	113
26	41	111
27	42	109
28	43	107
29	45	105
30	46	104
31	48	102
32	50	101
33	51	100
34	53	98
35	54	97
36	55	95
37	57	93
38	58	91
39	59	89
40	61	88
41	62	86
42	64	84
43	65	82
44	66	81
45	67	79
46	69	78
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	68
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	87	60
59	88	59
60	90	57
61	92	56
62	93	55
63	95	53
64	96	51
65	97	50
66	99	48
67	100	47
68	101	45
69	103	44
70	104	42
71	106	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	145	1
99	147	0
